Category: All categories

Day,bitcoin: (Worldwide)
2020-01-01,23
2020-01-02,26
2020-01-03,29
2020-01-04,25
2020-01-05,28
2020-01-06,30
2020-01-07,36
2020-01-08,38
2020-01-09,29
2020-01-10,30
2020-01-11,27
2020-01-12,26
2020-01-13,27
2020-01-14,38
2020-01-15,38
2020-01-16,32
2020-01-17,33
2020-01-18,29
2020-01-19,34
2020-01-20,30
2020-01-21,29
2020-01-22,27
2020-01-23,29
2020-01-24,26
2020-01-25,24
2020-01-26,24
2020-01-27,28
2020-01-28,33
2020-01-29,37
2020-01-30,35
2020-01-31,31
2020-02-01,29
2020-02-02,27
2020-02-03,28
2020-02-04,29
2020-02-05,32
2020-02-06,35
2020-02-07,32
2020-02-08,31
2020-02-09,40
2020-02-10,36
2020-02-11,37
2020-02-12,42
2020-02-13,37
2020-02-14,33
2020-02-15,33
2020-02-16,29
2020-02-17,33
2020-02-18,33
2020-02-19,35
2020-02-20,35
2020-02-21,31
2020-02-22,26
2020-02-23,28
2020-02-24,33
2020-02-25,32
2020-02-26,36
2020-02-27,34
2020-02-28,37
2020-02-29,29
2020-03-01,29
2020-03-02,31
2020-03-03,30
2020-03-04,30
2020-03-05,32
2020-03-06,29
2020-03-07,26
2020-03-08,30
2020-03-09,52
2020-03-10,40
2020-03-11,35
2020-03-12,71
2020-03-13,100
2020-03-14,62
2020-03-15,54
2020-03-16,69
2020-03-17,58
2020-03-18,55
2020-03-19,59
2020-03-20,60
2020-03-21,52
2020-03-22,42
2020-03-23,48
2020-03-24,48
2020-03-25,43
2020-03-26,40
2020-03-27,38
2020-03-28,40
2020-03-29,39
2020-03-30,39
